id,genre,director
667520,"Animation, Drama, Romance, Fantasy","Junichi Sato, Tomotaka Shibayama"
1162,Drama,Arthur Penn
360814,"Drama, Family, Comedy",Nitesh Tiwari
334533,"Adventure, Drama",Matt Ross
11036,"Romance, Drama",Nick Cassavetes
610150,"Animation, Science Fiction, Action",Tetsuro Kodama
210577,"Mystery, Thriller, Drama",David Fincher
1402,Drama,Gabriele Muccino
833,Drama,Vittorio De Sica
774531,"History, Drama",Joachim Rønning
530254,"Action, Mystery, Science Fiction",Park Hoon-jung
60243,Drama,Asghar Farhadi
29455,Drama,Ingmar Bergman
2011,"Animation, Drama","Marjane Satrapi, Vincent Paronnaud"
665,"History, Drama, Adventure",William Wyler
1426776,"Thriller, Drama, Crime",Tyler Perry
11830,Comedy,Jūzō Itami
613,"Drama, History, War",Oliver Hirschbiegel
31411,"Comedy, Romance","Buster Keaton, Edward Sedgwick"
5801,"Drama, History",Satyajit Ray
698508,"Romance, Drama, Western",D.J. Caruso
677638,"Animation, Adventure, Family, Comedy, TV Movie",Daniel Chong
323272,Drama,Alex Kendrick
33320,"Animation, Drama, Romance, Comedy, Fantasy",Satoshi Kon
10191,"Fantasy, Adventure, Animation, Family","Chris Sanders, Dean DeBlois"
275,"Crime, Drama, Thriller",Joel Coen
235,"Crime, Drama",Rob Reiner
11656,"Drama, History",Ingmar Bergman
93,"Crime, Drama, Mystery",Otto Preminger
968,"Crime, Drama, Thriller",Sidney Lumet
505192,"Drama, Crime, Thriller",Hirokazu Kore-eda
399174,"Adventure, Comedy, Animation",Wes Anderson
379170,"Crime, Drama, Mystery, Thriller, TV Movie",Douglas Mackinnon
152601,"Romance, Science Fiction, Drama",Spike Jonze
585,"Animation, Comedy, Family",Pete Docter
89,"Adventure, Action",Steven Spielberg
430424,"Drama, Crime, War",Albert Dupontel
438695,"Family, Comedy, Music, Animation",Garth Jennings
50759,Drama,Yasujirō Ozu
3083,"Comedy, Drama",Frank Capra
581,"Adventure, Drama, Western",Kevin Costner
546554,"Comedy, Crime, Mystery",Rian Johnson
59440,"Drama, Action",Gavin O'Connor
16804,Drama,Yojiro Takita
293299,"Animation, Comedy, Drama, Family",Patrick Osborne
266856,"Drama, Romance",James Marsh
714888,"Drama, History, Crime",Santiago Mitre
115,"Comedy, Crime",Joel Coen
52345,"Comedy, Romance",Guel Arraes
9479,"Fantasy, Animation, Family",Henry Selick
631,"Drama, Romance",F. W. Murnau
650031,"War, Drama, History",Ole Bornedal
445030,"Adventure, Animation, Drama, Fantasy, Romance",Atsuko Ishizuka
522402,"Science Fiction, Drama, Adventure",Miguel Sapochnik
32480,Comedy,Mario Monicelli
2062,"Animation, Comedy, Family, Fantasy",Brad Bird
594634,"Romance, Drama",Tim Trachte
25606,Comedy,Luciano Salce
11953,"Action, Drama, History, War",Akira Kurosawa
6075,"Crime, Drama, Thriller",Brian De Palma
391,Western,Sergio Leone
47931,"Drama, Action, Crime",José Padilha
16859,"Animation, Family, Drama, Fantasy",Hayao Miyazaki
548544,Drama,Karim Aïnouz
24167,"Drama, War",Vittorio De Sica
5924,"Crime, Drama",Franklin J. Schaffner
1280,"Drama, Romance, Crime",Kim Ki-duk
552532,Drama,Ángel Manuel Soto
83564,"Animation, Family, Fantasy",Enrico Casarosa
31442,"Drama, War",Andrei Tarkovsky
33602,"Drama, History",Mick Jackson
14574,"Drama, War, History",Mark Herman
198,"Comedy, War, Romance",Ernst Lubitsch
527774,"Animation, Family, Fantasy, Action, Adventure","Carlos López Estrada, Don Hall"
435129,"Animation, War, Drama, Family",Nora Twomey
805,"Drama, Horror, Thriller",Roman Polanski
1081676,"Drama, Romance",Michał Gazda
779047,"Animation, Drama, Family, Romance",Zach Parrish
58129,"Drama, Fantasy, Horror",Victor Sjöström
27064,Drama,Paul Schrader
3078,"Comedy, Romance",Frank Capra
263115,"Action, Drama, Science Fiction",James Mangold
56231,Drama,Elio Petri
200727,"Romance, Drama, Comedy",Christian Ditter
4977,"Animation, Science Fiction, Thriller",Satoshi Kon
826,"Drama, History, War",David Lean
419478,"Romance, Drama",Scott Speer
596,Drama,John Ford
107,"Crime, Comedy",Guy Ritchie
12,"Animation, Family",Andrew Stanton
911430,"Action, Drama",Joseph Kosinski
15859,"Drama, Romance",John H. Lee
10774,Drama,Sidney Lumet
2440,"War, Drama, Thriller, Mystery, Action",Park Chan-wook
554590,Comedy,Ariel Winograd
398924,"War, Drama",Christian Duguay
314365,"Drama, History",Tom McCarthy
303867,"Animation, Drama, Science Fiction",Don Hertzfeldt
10315,"Adventure, Animation, Comedy, Family",Wes Anderson
22,"Adventure, Fantasy, Action",Gore Verbinski
113,Drama,Kim Ki-duk
152742,"Drama, Romance, Crime",Giuseppe Tornatore
